-30,0,0.0041
-30,0.05,0.0041
-30,0.1,0.0041
-30,0.15,0.0041
-30,0.2,0.0041
-30,0.3,0.0041
-30,0.4,0.0041
-30,0.5,0.0041
-30,0.6,0.0041
-30,0.7,0.0041
-30,0.8,0.0041
-30,0.9,0.0041
-30,0.995,0.0041
-30,1,0.0041
-30,1.005,0.0041
-30,1.1,0.0041
0,0,0.0036
0,0.05,0.0036
0,0.1,0.0036
0,0.15,0.0036
0,0.2,0.0036
0,0.3,0.0036
0,0.4,0.0036
0,0.5,0.0036
0,0.6,0.0036
0,0.7,0.0036
0,0.8,0.0036
0,0.9,0.0036
0,0.995,0.0036
0,1,0.0036
0,1.005,0.0036
0,1.1,0.0036
25,0,0.0026
25,0.05,0.0026
25,0.1,0.0026
25,0.15,0.0026
25,0.2,0.0026
25,0.3,0.0025
25,0.4,0.0025
25,0.5,0.0025
25,0.6,0.0025
25,0.7,0.0024
25,0.8,0.0024
25,0.9,0.0024
25,0.995,0.0024
25,1,0.0024
25,1.005,0.0024
25,1.1,0.0024
40,0,0.0024
40,0.05,0.0024
40,0.1,0.0024
40,0.15,0.0024
40,0.2,0.0024
40,0.3,0.0024
40,0.4,0.0024
40,0.5,0.0024
40,0.6,0.0024
40,0.7,0.0024
40,0.8,0.0024
40,0.9,0.0024
40,0.995,0.0024
40,1,0.0024
40,1.005,0.0024
40,1.1,0.0024
100,0,0.0022
100,0.05,0.0022
100,0.1,0.0022
100,0.15,0.0022
100,0.2,0.0022
100,0.3,0.0022
100,0.4,0.0022
100,0.5,0.0022
100,0.6,0.0022
100,0.7,0.0022
100,0.8,0.0022
100,0.9,0.0022
100,0.995,0.0022
100,1,0.0022
100,1.005,0.0022
100,1.1,0.0022
